topic,type,difficulty,text,explanation,opt1,opt1_correct,opt2,opt2_correct,opt3,opt3_correct,opt4,opt4_correct,numerical_answer
Computer Science,MCQ,EASY,"What does HTML stand for?","HTML is the standard markup language for creating Web pages.","HyperText Markup Language",True,"HyperText Machine Language",False,"HyperLoop Machine Language",False,"HighText Markup Language",False,
Computer Science,MSQ,MEDIUM,"Which of the following are valid HTTP methods?","GET, POST, and PUT are standard HTTP methods used in REST APIs.","GET",True,"POST",True,"PUT",True,"SEND",False,
Computer Science,NAT,EASY,"What is the standard HTTP status code for 'Not Found'?","The 404 status code indicates that the server cannot find the requested resource.",,,,,,,,,404
Computer Science,MCQ,MEDIUM,"What does CSS stand for?","Cascading Style Sheets are used to format the layout of Web pages.","Computer Style Sheets",False,"Creative Style Sheets",False,"Cascading Style Sheets",True,"Colorful Style Sheets",False,
Computer Science,MSQ,HARD,"Which of these are programming languages?","Python, Java, and C++ are programming languages. HTML is a markup language.","Python",True,"Java",True,"HTML",False,"C++",True,
Computer Science,NAT,MEDIUM,"In what year was the Python programming language first released?","Guido van Rossum released Python 0.9.0 in 1991.",,,,,,,,,1991
Computer Science,MCQ,EASY,"What is the brain of the computer?","The CPU (Central Processing Unit) acts as the brain of the computer.","RAM",False,"Motherboard",False,"GPU",False,"CPU",True,
Computer Science,MSQ,MEDIUM,"Which of the following are relational database management systems?","MySQL and PostgreSQL are RDBMS. MongoDB is NoSQL, and Redis is an in-memory store.","MySQL",True,"MongoDB",False,"PostgreSQL",True,"Redis",False,
Computer Science,NAT,HARD,"What is the decimal equivalent of the binary number 1010?","1010 in binary is (1*8) + (0*4) + (1*2) + (0*1) = 10.",,,,,,,,,10
Computer Science,MCQ,MEDIUM,"Which company created React?","React is a JavaScript library for building user interfaces, maintained by Meta (Facebook).","Google",False,"Meta",True,"Microsoft",False,"Apple",False,
Mathematics,MCQ,EASY,"What is 7 multiplied by 8?","7 times 8 equals 56.","54",False,"56",True,"62",False,"64",False,
Mathematics,MSQ,MEDIUM,"Which of the following numbers are prime?","A prime number is only divisible by 1 and itself.","2",True,"9",False,"11",True,"15",False,
Mathematics,NAT,EASY,"What is the square root of 144?","12 multiplied by 12 equals 144.",,,,,,,,,12
Mathematics,MCQ,MEDIUM,"What is the value of Pi to two decimal places?","Pi is approximately equal to 3.14159...","3.12",False,"3.14",True,"3.16",False,"3.18",False,
